     2Theta, SL-TH 13,
        10,        74,
     10.01,        57,
     10.02,        74,
     10.03,        60,
     10.04,        71,
     10.05,        59,
     10.06,        62,
     10.07,        50,
     10.08,        50,
     10.09,        61,
      10.1,        63,
     10.11,        75,
     10.12,        68,
     10.13,        54,
     10.14,        57,
     10.15,        51,
     10.16,        51,
     10.17,        43,
     10.18,        48,
     10.19,        67,
      10.2,        67,
     10.21,        57,
     10.22,        48,
     10.23,        59,
     10.24,        53,
     10.25,        56,
     10.26,        66,
     10.27,        58,
     10.28,        55,
     10.29,        53,
      10.3,        63,
     10.31,        43,
     10.32,        57,
     10.33,        53,
     10.34,        55,
     10.35,        45,
     10.36,        64,
     10.37,        54,
     10.38,        61,
     10.39,        33,
      10.4,        38,
     10.41,        50,
     10.42,        58,
     10.43,        72,
     10.44,        44,
     10.45,        61,
     10.46,        39,
     10.47,        57,
     10.48,        62,
     10.49,        51,
      10.5,        73,
     10.51,        62,
     10.52,        58,
     10.53,        59,
     10.54,        58,
     10.55,        49,
     10.56,        55,
     10.57,        55,
     10.58,        59,
     10.59,        64,
      10.6,        43,
     10.61,        55,
     10.62,        44,
     10.63,        47,
     10.64,        52,
     10.65,        44,
     10.66,        50,
     10.67,        54,
     10.68,        64,
     10.69,        48,
      10.7,        57,
     10.71,        58,
     10.72,        59,
     10.73,        62,
     10.74,        40,
     10.75,        63,
     10.76,        46,
     10.77,        57,
     10.78,        65,
     10.79,        69,
      10.8,        53,
     10.81,        53,
     10.82,        49,
     10.83,        44,
     10.84,        66,
     10.85,        58,
     10.86,        47,
     10.87,        63,
     10.88,        60,
     10.89,        55,
      10.9,        43,
     10.91,        55,
     10.92,        54,
     10.93,        59,
     10.94,        55,
     10.95,        60,
     10.96,        48,
     10.97,        49,
     10.98,        63,
     10.99,        64,
        11,        45,
     11.01,        54,
     11.02,        52,
     11.03,        51,
     11.04,        57,
     11.05,        57,
     11.06,        63,
     11.07,        55,
     11.08,        53,
     11.09,        61,
      11.1,        51,
     11.11,        51,
     11.12,        50,
     11.13,        54,
     11.14,        47,
     11.15,        44,
     11.16,        56,
     11.17,        55,
     11.18,        46,
     11.19,        51,
      11.2,        43,
     11.21,        55,
     11.22,        48,
     11.23,        55,
     11.24,        47,
     11.25,        55,
     11.26,        44,
     11.27,        63,
     11.28,        54,
     11.29,        51,
      11.3,        58,
     11.31,        56,
     11.32,        46,
     11.33,        68,
     11.34,        54,
     11.35,        47,
     11.36,        45,
     11.37,        57,
     11.38,        51,
     11.39,        43,
      11.4,        51,
     11.41,        42,
     11.42,        45,
     11.43,        48,
     11.44,        46,
     11.45,        38,
     11.46,        42,
     11.47,        43,
     11.48,        47,
     11.49,        58,
      11.5,        51,
     11.51,        60,
     11.52,        53,
     11.53,        56,
     11.54,        39,
     11.55,        59,
     11.56,        51,
     11.57,        54,
     11.58,        49,
     11.59,        52,
      11.6,        43,
     11.61,        47,
     11.62,        41,
     11.63,        42,
     11.64,        42,
     11.65,        61,
     11.66,        64,
     11.67,        41,
     11.68,        62,
     11.69,        50,
      11.7,        43,
     11.71,        60,
     11.72,        43,
     11.73,        44,
     11.74,        36,
     11.75,        47,
     11.76,        53,
     11.77,        44,
     11.78,        45,
     11.79,        52,
      11.8,        56,
     11.81,        51,
     11.82,        38,
     11.83,        56,
     11.84,        49,
     11.85,        68,
     11.86,        48,
     11.87,        47,
     11.88,        50,
