    2Theta, SL-TH 61,
        25,       176,
     25.01,       164,
     25.02,       203,
     25.03,       178,
     25.04,       179,
     25.05,       186,
     25.06,       191,
     25.07,       183,
     25.08,       164,
     25.09,       159,
      25.1,       144,
     25.11,       158,
     25.12,       167,
     25.13,       164,
     25.14,       186,
     25.15,       199,
     25.16,       169,
     25.17,       188,
     25.18,       160,
     25.19,       184,
      25.2,       169,
     25.21,       189,
     25.22,       189,
     25.23,       205,
     25.24,       194,
     25.25,       216,
     25.26,       210,
     25.27,       208,
     25.28,       182,
     25.29,       200,
      25.3,       225,
     25.31,       206,
     25.32,       251,
     25.33,       216,
     25.34,       205,
     25.35,       197,
     25.36,       213,
     25.37,       195,
     25.38,       205,
     25.39,       214,
      25.4,       217,
     25.41,       184,
     25.42,       216,
     25.43,       209,
     25.44,       237,
     25.45,       243,
     25.46,       222,
     25.47,       264,
     25.48,       262,
     25.49,       242,
      25.5,       261,
     25.51,       274,
     25.52,       280,
     25.53,       275,
     25.54,       300,
     25.55,       338,
     25.56,       287,
     25.57,       292,
     25.58,       319,
     25.59,       328,
      25.6,       332,
     25.61,       296,
     25.62,       309,
     25.63,       289,
     25.64,       300,
     25.65,       308,
     25.66,       328,
     25.67,       305,
     25.68,       288,
     25.69,       311,
      25.7,       297,
     25.71,       297,
     25.72,       311,
     25.73,       286,
     25.74,       279,
     25.75,       308,
     25.76,       284,
     25.77,       296,
     25.78,       287,
     25.79,       294,
      25.8,       286,
     25.81,       291,
     25.82,       292,
     25.83,       303,
     25.84,       339,
     25.85,       329,
     25.86,       330,
     25.87,       365,
     25.88,       360,
     25.89,       422,
      25.9,       430,
     25.91,       457,
     25.92,       488,
     25.93,       526,
     25.94,       555,
     25.95,       560,
     25.96,       621,
     25.97,       621,
     25.98,       695,
     25.99,       706,
        26,       708,
     26.01,       693,
     26.02,       665,
     26.03,       654,
     26.04,       602,
     26.05,       610,
     26.06,       573,
     26.07,       539,
     26.08,       501,
     26.09,       471,
      26.1,       520,
     26.11,       471,
     26.12,       431,
     26.13,       455,
     26.14,       460,
     26.15,       459,
     26.16,       478,
     26.17,       490,
     26.18,       472,
     26.19,       488,
      26.2,       544,
     26.21,       545,
     26.22,       581,
     26.23,       600,
     26.24,       606,
     26.25,       616,
     26.26,       652,
     26.27,       637,
     26.28,       639,
     26.29,       658,
      26.3,       614,
     26.31,       640,
     26.32,       575,
     26.33,       556,
     26.34,       584,
     26.35,       518,
     26.36,       518,
     26.37,       475,
     26.38,       455,
     26.39,       456,
      26.4,       426,
     26.41,       410,
     26.42,       390,
     26.43,       398,
     26.44,       383,
     26.45,       383,
     26.46,       435,
     26.47,       464,
     26.48,       468,
     26.49,       473,
      26.5,       518,
     26.51,       528,
     26.52,       559,
     26.53,       543,
     26.54,       573,
     26.55,       587,
     26.56,       594,
     26.57,       544,
     26.58,       603,
     26.59,       558,
      26.6,       543,
     26.61,       565,
     26.62,       519,
     26.63,       510,
     26.64,       513,
     26.65,       482,
     26.66,       464,
     26.67,       419,
     26.68,       463,
     26.69,       392,
      26.7,       434,
     26.71,       478,
     26.72,       426,
     26.73,       445,
     26.74,       442,
     26.75,       443,
     26.76,       471,
     26.77,       504,
     26.78,       518,
     26.79,       584,
      26.8,       578,
     26.81,       628,
     26.82,       628,
     26.83,       723,
     26.84,       753,
     26.85,       733,
     26.86,       726,
     26.87,       787,
     26.88,       757,
     26.89,       814,
      26.9,       816,
     26.91,       794,
     26.92,       742,
     26.93,       768,
     26.94,       654,
     26.95,       625,
     26.96,       612,
     26.97,       600,
     26.98,       595,
     26.99,       551,
        27,       594,
     27.01,       552,
     27.02,       553,
     27.03,       562,
     27.04,       513,
     27.05,       533,
     27.06,       604,
     27.07,       667,
     27.08,       733,
     27.09,       756,
      27.1,       846,
     27.11,       931,
     27.12,      1068,
     27.13,      1120,
     27.14,      1290,
     27.15,      1373,
     27.16,      1470,
     27.17,      1550,
     27.18,      1607,
     27.19,      1721,
      27.2,      1763,
     27.21,      1738,
     27.22,      1785,
     27.23,      1701,
     27.24,      1739,
     27.25,      1648,
     27.26,      1542,
     27.27,      1406,
     27.28,      1331,
     27.29,      1227,
      27.3,      1250,
     27.31,      1125,
     27.32,      1030,
     27.33,      1048,
     27.34,       951,
     27.35,       943,
     27.36,       868,
     27.37,       923,
     27.38,       872,
     27.39,       934,
      27.4,       886,
     27.41,       873,
     27.42,      1010,
     27.43,      1060,
     27.44,      1123,
